Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
IN,IN-KA,,46300,41100,3219000,80350,305100,1055000,306500,13162500,176300,195450,431250,35400
IN,IN-KL,,31700,28150,2203750,55100,209300,723000,210500,9022500,120700,134025,295500,24350
IN,IN-LD,,5600,5000,392750,9825,37200,129000,37500,1620000,21600,23925,53250,4350
IN,IN-MH,,127700,113650,8921500,222325,843900,2919000,848500,36457500,488000,540600,1197750,98100
IN,IN-ML,,5900,5250,412000,10300,39100,135000,39500,1695000,22600,25050,56250,4550
IN,IN-MN,,7000,6300,494250,12350,46800,162000,47000,2032500,27100,30000,66750,5450
IN,IN-MP,,195900,174550,13686500,341425,1295900,4487000,1303000,56182500,749200,830625,1849500,150950
IN,IN-MZ,,5700,5150,402750,10075,38200,132000,38500,1657500,22100,24525,54750,4450
IN,IN-NL,,5700,5100,398750,9975,37800,131000,38000,1642500,21900,24225,54000,4400
IN,IN-OR,,29300,26100,2046750,51075,193900,671000,195000,8385000,112100,124275,276000,22550
IN,IN-PB,,98300,87650,6863750,171425,650100,2252000,654500,28267500,376100,417000,932250,75700
IN,IN-PY,,6100,5450,426000,10650,40400,140000,40500,1755000,23400,25950,57750,4700
IN,IN-RJ,,205100,182750,14285250,357525,1356700,4693000,1364500,58815000,783500,869550,1931250,157550
IN,IN-SK,,5600,5050,396000,9900,37600,130000,38000,1627500,21700,24075,54000,4350
IN,IN-TG,,300700,267450,20808500,523100,1986700,6872000,1996500,85710000,1148200,1271925,2791500,229900
IN,IN-TN,,627500,555550,43495500,1086700,4130500,14241000,4146500,178305000,2376800,2644050,5815500,479650
IN,IN-TR,,6600,5900,463000,11575,43900,152000,44000,1905000,25400,28125,63000,5100
IN,IN-UP,,234500,209000,16355250,408800,1551000,5368000,1560000,67200000,896500,994050,2211000,180000
IN,IN-UT,,10100,9000,705750,17600,66800,231000,67000,2895000,38700,42825,95250,7750
IN,IN-WB,,243400,217200,17002500,424900,1611000,5584000,1621500,70170000,932500,1033575,2318250,187300
IT,,,221700,198250,15494250,387775,1471100,5106000,1480500,64462500,852200,943350,2127750,173300
LT,,,24300,21700,1697500,42475,161200,560000,162000,7065000,93500,103350,232500,19000
LU,,,1600,1400,108750,2725,10300,36000,10500,450000,6000,6600,15000,1200
LV,,,5800,5250,409250,10250,38900,135000,39000,1702500,22500,24900,56250,4600
MT,,,600,550,42250,1050,4000,14000,4000,172500,2300,2550,6000,450
NL,,,91500,82000,6399500,160425,608900,2115000,612500,26767500,353100,390375,882000,72100
PL,,,443500,401000,31274750,784400,2973700,10344000,2994500,132465000,1739000,1905525,4304250,354300
PT,,,1300,1200,94250,2350,8900,31000,9000,390000,5200,5700,12750,1050
RO,,,516600,462650,36149500,904950,3432600,11917000,3454500,150637500,1991200,2201400,4961250,403600
SE,,,89700,80200,6259500,156850,595400,2068000,599000,26100000,344700,381750,861000,70350
SI,,,6400,5700,446000,11125,42200,147000,42500,1852500,24500,27075,61500,4950
SK,,,210900,189050,14804000,369800,1402200,4872000,1411500,61680000,815000,899025,2029500,165700
US,US-AK,AK-AT LARGE,115400,102100,8104250,199675,756200,2624000,762000,33120000,438800,481050,1074000,90750
US,US-AL,AL-1,87000,76950,6150000,150500,570300,1980000,574000,24945000,331200,362550,810000,68250
US,US-AL,AL-2,97400,85150,6806500,166550,630600,2196000,635000,27645000,367700,399675,890250,75450
US,US-AL,AL-3,75100,66500,5311500,130050,492800,1710000,496000,21555000,286200,313350,699750,58950
US,US-AL,AL-4,62500,55350,4415750,108225,410200,1423000,413000,17932500,238100,260850,582750,49000
US,US-AL,AL-5,92800,82100,6557250,160600,608600,2112000,613000,26617500,353300,386925,864000,72800
US,US-AL,AL-6,125800,111450,8888750,217950,825800,2866000,831500,36142500,479600,525375,1173750,98900
US,US-AL,AL-7,75200,66450,5320500,129975,492600,1710000,496000,21502500,286100,313125,698250,58900
US,US-AR,AR-1,68000,60100,4815250,117525,445500,1546000,448500,19470000,258600,282900,631500,53250
US,US-AR,AR-2,165700,145550,11759500,284725,1079500,3748000,1086000,47130000,626700,682875,1523250,129000
US,US-AR,AR-3,99900,88400,7067000,172950,655400,2275000,660000,28657500,380600,416700,930750,78400
